序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,金属铅,1993.64,3.6,210.12,156.72,53.4,38,湖南白银,10.03,10.42
2,金属锌,2239.54,3.34,196.11,145.86,50.24,43,湖南白银,10.03,10.42
3,黄金概念,3820.27,2.46,342.43,253.49,88.94,82,深中华A,10.06,7.11
4,金属铜,1830.92,2.31,346.85,254.11,92.74,93,湖南白银,10.03,10.42
5,小金属概念,3574.96,1.87,561.61,436.9,124.71,171,*ST四通,10.05,11.72
6,MLCC概念,1154.22,1.81,164.15,135.83,28.32,35,国瓷材料,7.85,67.86
7,富士康概念,3529.47,1.62,243.2,210.01,33.2,109,锦富技术,12.5,4.95
8,铜缆高速连接,2945.89,1.62,180.62,161.17,19.44,47,精达股份,10.04,8.66
9,金属钴,2676.75,1.55,175.35,125.92,49.43,32,兴业银锡,6.02,40.88
10,F5G概念,4176.99,1.53,360.24,330.6,29.63,36,星网锐捷,10.02,33.17
11,华为手机,1636.22,1.53,116.67,103.05,13.62,45,东田微,7.56,242.41
12,盐湖提锂,1828.03,1.47,164.1,119.07,45.04,45,盛新锂能,6.57,33.75
13,金属镍,1249.85,1.45,122.87,89.78,33.08,38,盛达资源,10.01,36.61
14,钛白粉概念,1843.89,1.42,11.21,8.07,3.14,15,国城矿业,8.19,33.28
15,共封装光学(CPO),5769.7,1.42,1418.15,1260.45,157.71,206,深科达,20.0,91.16
16,6G概念,2393.63,1.42,326.76,303.1,23.66,98,瑞斯康达,10.01,11.32
17,金属回收,1168.42,1.37,188.5,154.82,33.68,88,湖南白银,10.03,10.42
18,移动支付,2201.35,1.34,78.13,77.76,0.37,78,精达股份,10.04,8.66
19,宁德时代概念,2230.83,1.34,541.6,454.61,86.99,297,锦富技术,12.5,4.95
20,ST板块,485.981,1.32,42.82,43.6,-0.77,206,*ST泉为,17.61,19.03
21,超级电容,3080.44,1.31,120.37,103.63,16.74,45,麦格米特,8.27,128.06
22,数字货币,1867.28,1.28,92.01,87.51,4.5,91,星网锐捷,10.02,33.17
23,苹果概念,5769.29,1.27,397.56,352.92,44.64,140,锦富技术,12.5,4.95
24,液冷服务器,2156.57,1.27,719.43,670.27,49.15,229,博汇股份,20.02,12.47
25,MiniLED,2674.46,1.24,335.7,309.73,25.96,107,深科达,20.0,91.16
26,BC电池,1198.72,1.24,79.44,77.17,2.27,52,锦富技术,12.5,4.95
27,PCB概念,2567.66,1.21,686.12,603.97,82.15,237,肯特股份,20.01,37.78
28,固态电池,1398.47,1.21,600.27,514.17,86.11,296,金博股份,14.54,39.85
29,PET铜箔,1968.36,1.19,125.88,116.68,9.2,50,诺德股份,10.04,10.74
30,小米汽车,1514.86,1.16,185.36,166.64,18.72,120,金博股份,14.54,39.85
31,石墨烯,1693.2,1.15,98.48,89.41,9.07,77,锦富技术,12.5,4.95
32,柔性屏(折叠屏),3178.1,1.14,226.31,209.36,16.95,108,深科达,20.0,91.16
33,TOPCON电池,1102.91,1.14,121.33,122.51,-1.18,82,*ST泉为,17.61,19.03
34,特斯拉概念,5252.38,1.13,478.46,416.4,62.05,248,诺德股份,10.04,10.74
35,可控核聚变,2229.03,1.13,230.95,210.27,20.68,116,精达股份,10.04,8.66
36,PEEK材料,1888.16,1.1,74.47,68.61,5.85,54,肯特股份,20.01,37.78
37,锂电池概念,1873.79,1.08,1042.01,897.13,144.89,608,日科化学,20.0,12.9
38,新型烟草(电子烟),1988.79,1.07,87.81,88.4,-0.59,52,科森科技,10.03,18.65
