序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,非金属材料,32667.1,2.21,26.87,22.74,4.14,17,太力科技,12.79,50.54
2,厨卫电器,6106.92,1.53,4.23,3.64,0.59,9,亿田智能,12.13,36.24
3,元件,29926.6,1.5,434.75,423.37,11.38,63,澳弘电子,10.01,58.6
4,半导体,17697.2,1.35,866.67,865.95,0.72,188,慧智微,20.03,17.32
5,电子化学品,93191.7,1.31,144.07,129.42,14.65,43,同宇新材,8.65,219.54
6,生物制品,6639.13,1.3,69.06,66.1,2.96,56,欧林生物,12.99,33.92
7,其他电子,21787.8,1.27,56.74,54.13,2.61,34,富信科技,16.21,130.61
8,通用设备,9465.87,0.95,177.32,166.17,11.15,254,莱伯泰科,20.0,52.92
9,医疗服务,21839.3,0.9,115.12,118.11,-2.99,56,益诺思,14.41,104.77
10,其他社会服务,19390.0,0.75,14.11,12.37,1.74,84,安邦护卫,10.0,47.96
11,医疗器械,11373.1,0.64,55.26,55.42,-0.17,142,浩欧博,20.0,141.04
12,塑料制品,11237.9,0.57,83.56,78.73,4.83,78,海正生材,16.38,24.3
13,其他电源设备,6361.5,0.4,40.87,39.9,0.97,35,爱科赛博,9.92,62.05
14,自动化设备,29527.3,0.39,117.56,117.43,0.14,99,燕麦科技,8.16,60.6
15,光学光电子,5660.55,0.26,173.63,178.26,-4.62,107,沃格光电,10.0,102.5
16,化学纤维,3708.78,0.26,13.34,11.43,1.91,29,汇隆新材,5.32,26.34
17,白色家电,8299.49,0.23,29.68,30.8,-1.13,44,宏昌科技,12.22,60.23
18,电池,17544.5,0.21,154.22,145.25,8.97,107,中一科技,20.0,49.2
19,房地产,1770.81,0.2,109.11,106.82,2.29,88,华远控股,10.16,2.82
20,化学制品,7406.7,0.14,114.11,114.67,-0.56,183,锦华新材,14.85,44.54
21,建筑材料,5732.36,0.13,75.12,85.71,-10.6,73,三峡新材,10.12,3.7
22,军工电子,11945.3,0.07,37.92,42.17,-4.26,61,高凌信息,15.28,26.79
23,专用设备,7569.37,0.06,121.33,123.57,-2.24,205,凯达重工,580.75,29.0
24,机场航运,1733.11,0.03,8.71,8.58,0.13,13,华夏航空,1.09,6.5
25,光伏设备,7108.34,0.03,64.78,73.85,-9.08,73,金辰股份,10.02,32.4
26,建筑装饰,4216.29,-0.02,76.11,73.69,2.42,143,中诚咨询,14.0,17.75
27,汽车零部件,5781.29,-0.04,106.45,115.2,-8.75,275,盛帮股份,10.37,37.57
28,白酒,1975.24,-0.14,36.23,39.33,-3.1,19,天佑德酒,3.97,7.34
29,轨交设备,1010.79,-0.16,4.2,5.42,-1.23,30,必得科技,3.94,45.61
30,金属新材料,14047.2,-0.22,17.78,19.16,-1.37,34,江南新材,10.0,145.0
31,汽车服务及其他,1132.65,-0.25,7.09,7.79,-0.7,26,申华控股,10.0,1.87
32,工程机械,2958.21,-0.26,17.09,21.09,-4.0,36,南方路机,3.12,26.75
33,计算机设备,4028.28,-0.28,69.78,82.41,-12.62,83,安居宝,11.95,5.06
34,汽车整车,2499.11,-0.32,44.95,46.98,-2.03,23,江淮汽车,9.99,23.45
35,旅游及酒店,2798.28,-0.36,17.03,16.78,0.26,35,大连圣亚,5.67,49.79
36,消费电子,12827.2,-0.39,104.9,127.99,-23.08,96,福立旺,13.06,31.43
37,银行,1365.53,-0.43,60.57,75.02,-14.44,84,齐鲁银行,0.88,6.88
38,公路铁路运输,1302.56,-0.51,6.57,7.76,-1.19,32,五洲交通,1.48,4.12
39,食品加工制造,4670.29,-0.53,31.36,28.21,3.15,66,ST加加,6.29,7.27
40,环保设备,1420.59,-0.53,15.06,14.95,0.11,30,蓝盾光电,3.61,60.0
41,环境治理,4115.96,-0.55,34.67,36.8,-2.13,111,金达莱,7.18,19.56
42,小家电,4115.74,-0.55,8.42,8.83,-0.42,26,奥佳华,10.03,7.57
43,家居用品,4153.87,-0.59,36.42,39.21,-2.79,98,大亚圣象,10.02,7.58
44,橡胶制品,14164.5,-0.6,8.53,9.7,-1.16,22,科创新源,4.11,52.91
45,证券,1450.59,-0.61,41.21,56.67,-15.46,50,中金公司,2.67,32.65
46,钢铁,1488.55,-0.63,25.82,26.25,-0.43,44,凌钢股份,4.76,1.76
47,化学原料,3276.9,-0.63,42.04,49.37,-7.33,59,振华股份,9.99,39.86
48,通信设备,10048.3,-0.67,395.37,450.45,-55.08,91,瑞斯康达,10.0,12.87
49,饮料制造,5038.27,-0.72,35.37,37.31,-1.94,47,古越龙山,5.0,11.33
50,化学制药,6444.25,-0.73,119.98,137.16,-17.18,158,艾力斯,9.35,112.42
51,电机,3217.74,-0.76,5.27,6.74,-1.47,26,三协电机,2.48,30.64
52,教育,4422.49,-0.77,10.62,12.1,-1.48,15,科德教育,16.97,22.95
53,纺织制造,2318.29,-0.8,6.87,8.84,-1.97,33,华茂股份,9.93,4.65
54,美容护理,4865.64,-0.81,10.09,12.7,-2.61,34,锦波生物,5.9,121.34
55,工业金属,4347.36,-0.81,60.77,81.91,-21.13,55,丽岛新材,10.01,12.97
56,贵金属,5455.0,-0.84,35.72,42.53,-6.81,14,山金国际,0.33,24.28
57,造纸,2110.1,-0.86,5.29,7.08,-1.79,24,宜宾纸业,2.13,17.73
58,小金属,8588.87,-0.86,47.86,60.71,-12.85,30,金钛股份,5.78,28.35
59,服装家纺,2896.82,-0.9,15.11,19.85,-4.74,75,泰慕士,10.02,32.18
60,黑色家电,4256.05,-0.91,2.86,4.3,-1.44,9,高斯贝尔,1.36,15.66
61,贸易,2556.72,-0.93,2.5,3.29,-0.79,14,五矿发展,2.0,9.18
62,风电设备,4230.31,-0.96,24.67,28.16,-3.49,32,振江股份,3.55,27.74
63,包装印刷,4433.79,-1.01,17.29,21.33,-4.04,46,中锐股份,1.89,3.24
64,物流,5221.75,-1.03,11.38,13.12,-1.74,50,ST海钦,8.41,13.4
65,能源金属,29343.0,-1.05,18.91,28.7,-9.79,13,*ST威领,6.0,22.09
66,石油加工贸易,3675.76,-1.08,15.92,17.68,-1.76,27,荣盛石化,3.2,13.55
67,保险,2068.54,-1.12,12.82,18.72,-5.9,5,中国人寿,-0.23,38.6
68,农产品加工,3828.37,-1.12,24.67,28.27,-3.59,43,保龄宝,10.06,8.75
69,农化制品,4850.32,-1.18,27.85,37.5,-9.65,61,利民股份,5.01,20.32
70,电网设备,6317.26,-1.21,75.2,98.3,-23.1,140,威腾电气,8.42,32.07
